Date,^GSPC
2023-11-06,0.0018
2023-11-07,0.0028
2023-11-08,0.001
2023-11-09,-0.0081
2023-11-10,0.0155
2023-11-13,-0.0008
2023-11-14,0.0189
2023-11-15,0.0016
2023-11-16,0.0012
2023-11-17,0.0013
2023-11-20,0.0074
2023-11-21,-0.002
2023-11-22,0.0041
2023-11-24,0.0006
2023-11-27,-0.002
2023-11-28,0.001
2023-11-29,-0.0009
2023-11-30,0.0038
2023-12-01,0.0059
2023-12-04,-0.0054
2023-12-05,-0.0006
2023-12-06,-0.0039
2023-12-07,0.0079
2023-12-08,0.0041
2023-12-11,0.0039
2023-12-12,0.0046
2023-12-13,0.0136
2023-12-14,0.0026
2023-12-15,-0.0001
2023-12-18,0.0045
2023-12-19,0.0058
2023-12-20,-0.0148
2023-12-21,0.0102
2023-12-22,0.0017
2023-12-26,0.0042
2023-12-27,0.0014
2023-12-28,0.0004
2023-12-29,-0.0028
2024-01-02,-0.0057
2024-01-03,-0.008
2024-01-04,-0.0034
2024-01-05,0.0018
2024-01-08,0.014
2024-01-09,-0.0015
2024-01-10,0.0056
2024-01-11,-0.0007
2024-01-12,0.0008
2024-01-16,-0.0037
2024-01-17,-0.0056
2024-01-18,0.0088
2024-01-19,0.0122
2024-01-22,0.0022
2024-01-23,0.0029
2024-01-24,0.0008
2024-01-25,0.0052
2024-01-26,-0.0007
2024-01-29,0.0075
2024-01-30,-0.0006
2024-01-31,-0.0162
2024-02-01,0.0124
2024-02-02,0.0106
2024-02-05,-0.0032
2024-02-06,0.0023
2024-02-07,0.0082
2024-02-08,0.0006
2024-02-09,0.0057
2024-02-12,-0.0009
2024-02-13,-0.0138
2024-02-14,0.0095
2024-02-15,0.0058
2024-02-16,-0.0048
2024-02-20,-0.006
2024-02-21,0.0013
2024-02-22,0.0209
2024-02-23,0.0003
2024-02-26,-0.0038
2024-02-27,0.0017
2024-02-28,-0.0017
2024-02-29,0.0052
2024-03-01,0.008
2024-03-04,-0.0012
2024-03-05,-0.0102
2024-03-06,0.0051
2024-03-07,0.0103
2024-03-08,-0.0065
2024-03-11,-0.0011
2024-03-12,0.0111
2024-03-13,-0.0019
2024-03-14,-0.0029
2024-03-15,-0.0065
2024-03-18,0.0063
2024-03-19,0.0056
2024-03-20,0.0089
2024-03-21,0.0032
2024-03-22,-0.0014
2024-03-25,-0.0031
2024-03-26,-0.0028
2024-03-27,0.0086
2024-03-28,0.0011
2024-04-01,-0.002
2024-04-02,-0.0073
2024-04-03,0.0011
2024-04-04,-0.0124
2024-04-05,0.011
2024-04-08,-0.0004
2024-04-09,0.0014
2024-04-10,-0.0095
2024-04-11,0.0074
2024-04-12,-0.0147
2024-04-15,-0.0121
2024-04-16,-0.0021
2024-04-17,-0.0058
2024-04-18,-0.0022
2024-04-19,-0.0088
2024-04-22,0.0087
2024-04-23,0.0119
2024-04-24,0.0002
2024-04-25,-0.0046
2024-04-26,0.0102
2024-04-29,0.0032
2024-04-30,-0.0159
2024-05-01,-0.0034
2024-05-02,0.0091
2024-05-03,0.0125
2024-05-06,0.0103
2024-05-07,0.0013
2024-05-08,-0.0
2024-05-09,0.0051
2024-05-10,0.0016
2024-05-13,-0.0002
2024-05-14,0.0048
2024-05-15,0.0116
2024-05-16,-0.0021
2024-05-17,0.0012
2024-05-20,0.0009
2024-05-21,0.0025
2024-05-22,-0.0027
2024-05-23,-0.0074
2024-05-24,0.007
2024-05-28,0.0002
2024-05-29,-0.0074
2024-05-30,-0.006
2024-05-31,0.008
2024-06-03,0.0011
2024-06-04,0.0015
2024-06-05,0.0118
2024-06-06,-0.0002
2024-06-07,-0.0011
2024-06-10,0.0026
2024-06-11,0.0027
2024-06-12,0.0085
2024-06-13,0.0023
2024-06-14,-0.0004
2024-06-17,0.0076
2024-06-18,0.0025
2024-06-20,-0.0025
2024-06-21,-0.0016
2024-06-24,-0.0031
2024-06-25,0.0039
2024-06-26,0.0016
2024-06-27,0.0009
2024-06-28,-0.0041
2024-07-01,0.0027
2024-07-02,0.0062
2024-07-03,0.0051
2024-07-05,0.0054
2024-07-08,0.001
2024-07-09,0.0007
2024-07-10,0.0102
2024-07-11,-0.0088
2024-07-12,0.0055
2024-07-15,0.0028
2024-07-16,0.0064
2024-07-17,-0.014
2024-07-18,-0.0078
2024-07-19,-0.0072
2024-07-22,0.0107
2024-07-23,-0.0016
2024-07-24,-0.0234
2024-07-25,-0.0052
2024-07-26,0.011
2024-07-29,0.0008
2024-07-30,-0.005
2024-07-31,0.0157
2024-08-01,-0.0138
2024-08-02,-0.0186
2024-08-05,-0.0304
2024-08-06,0.0103
2024-08-07,-0.0078
2024-08-08,0.0228
2024-08-09,0.0047
2024-08-12,0.0
2024-08-13,0.0167
2024-08-14,0.0038
2024-08-15,0.016
2024-08-16,0.002
2024-08-19,0.0097
2024-08-20,-0.002
2024-08-21,0.0042
2024-08-22,-0.009
2024-08-23,0.0114
2024-08-26,-0.0032
2024-08-27,0.0016
2024-08-28,-0.006
2024-08-29,-0.0
2024-08-30,0.01
2024-09-03,-0.0214
2024-09-04,-0.0016
2024-09-05,-0.003
2024-09-06,-0.0174
2024-09-09,0.0115
2024-09-10,0.0045
2024-09-11,0.0106
2024-09-12,0.0075
2024-09-13,0.0054
2024-09-16,0.0013
2024-09-17,0.0003
2024-09-18,-0.0029
2024-09-19,0.0168
2024-09-20,-0.0019
2024-09-23,0.0028
2024-09-24,0.0025
2024-09-25,-0.0019
2024-09-26,0.004
2024-09-27,-0.0013
2024-09-30,0.0042
2024-10-01,-0.0094
2024-10-02,0.0001
2024-10-03,-0.0017
2024-10-04,0.0089
2024-10-07,-0.0096
2024-10-08,0.0096
2024-10-09,0.0071
2024-10-10,-0.0021
2024-10-11,0.006
2024-10-14,0.0077
2024-10-15,-0.0076
2024-10-16,0.0047
2024-10-17,-0.0002
2024-10-18,0.004
2024-10-21,-0.0018
2024-10-22,-0.0005
2024-10-23,-0.0092
2024-10-24,0.0021
2024-10-25,-0.0003
2024-10-28,0.0026
2024-10-29,0.0016
2024-10-30,-0.0033
2024-10-31,-0.0188
2024-11-01,0.0041
